,Question,Model,Variable,coef,pval,std err,z,lower CI (0.025),upper CI (0.975),significant
4,Q1,Human Delta,RACE_Other_non_Hispanic,    1.8782,0.0,    0.459,    4.092,    0.979,    2.778,True
40,Q1,LLM Delta,RACE_diversity,   -0.5486,0.041,    0.269,   -2.040,   -1.076,   -0.022,True
55,Q2B,Human Delta,RACE_White_non_Hispanic,    0.5524,0.032,    0.258,    2.142,    0.047,    1.058,True
64,Q2B,Human Delta,GENDER_Male,    0.2073,0.04,    0.101,    2.051,    0.009,    0.405,True
68,Q2B,Human Delta,AGEBRACKET_majority,   -0.2307,0.026,    0.104,   -2.224,   -0.434,   -0.027,True
133,Q2C,LLM Delta,AGEBRACKET_60plus,   -0.3479,0.004,    0.120,   -2.908,   -0.582,   -0.113,True
179,Q2D,LLM Delta,RACE_Other_non_Hispanic,    1.2166,0.012,    0.484,    2.511,    0.267,    2.166,True
184,Q2D,LLM Delta,EDUCATION_HS_graduate_or_equivalent,    0.3578,0.001,    0.111,    3.209,    0.139,    0.576,True
218,Q2E,Human Delta,AGEBRACKET_majority,    0.1823,0.034,    0.086,    2.124,    0.014,    0.350,True
229,Q2E,LLM Delta,RACE_Other_non_Hispanic,    1.1325,0.035,    0.537,    2.109,    0.080,    2.185,True
230,Q2E,LLM Delta,RACE_White_non_Hispanic,   -1.0175,0.005,    0.366,   -2.779,   -1.735,   -0.300,True
241,Q2E,LLM Delta,RACE_majority,    0.5614,0.007,    0.208,    2.694,    0.153,    0.970,True
259,Q2F,Human Delta,EDUCATION_HS_graduate_or_equivalent,   -0.7446,0.0,    0.171,   -4.350,   -1.080,   -0.409,True
261,Q2F,Human Delta,EDUCATION_Some_college,   -0.3111,0.0,    0.069,   -4.483,   -0.447,   -0.175,True
269,Q2F,Human Delta,EDUCATION_diversity,    0.7115,0.016,    0.294,    2.416,    0.134,    1.289,True
270,Q2F,Human Delta,EDUCATION_majority,   -0.3196,0.0,    0.070,   -4.582,   -0.456,   -0.183,True
291,Q2F,LLM Delta,RACE_majority,    0.9462,0.016,    0.394,    2.400,    0.174,    1.719,True
305,Q2G,Human Delta,RACE_White_non_Hispanic,    0.7617,0.017,    0.318,    2.394,    0.138,    1.385,True
330,Q2G,LLM Delta,RACE_White_non_Hispanic,    0.6093,0.011,    0.241,    2.532,    0.138,    1.081,True
331,Q2G,LLM Delta,AGEBRACKET_30_44,   -0.4565,0.005,    0.163,   -2.804,   -0.776,   -0.137,True
334,Q2G,LLM Delta,EDUCATION_HS_graduate_or_equivalent,   -0.5326,0.008,    0.200,   -2.660,   -0.925,   -0.140,True
341,Q2G,LLM Delta,RACE_majority,   -0.5220,0.003,    0.178,   -2.937,   -0.870,   -0.174,True
363,Q2H,Human Delta,PARTYBEFORE_Republican,    0.3922,0.001,    0.123,    3.187,    0.151,    0.633,True
387,Q2H,LLM Delta,PARTYBEFORE_Independent,    0.2299,0.018,    0.098,    2.356,    0.039,    0.421,True
388,Q2H,LLM Delta,PARTYBEFORE_Republican,    0.3574,0.0,    0.086,    4.175,    0.190,    0.525,True
400,Q2I,Human Delta,Intercept,   -1.4253,0.008,    0.536,   -2.658,   -2.476,   -0.374,True
401,Q2I,Human Delta,RACE_Asian_non_Hispanic,    0.6401,0.031,    0.297,    2.157,    0.058,    1.222,True
402,Q2I,Human Delta,RACE_Black_non_Hispanic,    0.6385,0.027,    0.289,    2.213,    0.073,    1.204,True
410,Q2I,Human Delta,EDUCATION_No_HS_diploma,   -0.8804,0.039,    0.427,   -2.060,   -1.718,   -0.043,True
413,Q2I,Human Delta,PARTYBEFORE_Republican,    0.3773,0.009,    0.145,    2.596,    0.092,    0.662,True
419,Q2I,Human Delta,EDUCATION_diversity,   -0.8063,0.017,    0.336,   -2.397,   -1.466,   -0.147,True
429,Q2I,LLM Delta,RACE_Other_non_Hispanic,   -1.1223,0.03,    0.517,   -2.172,   -2.135,   -0.109,True
430,Q2I,LLM Delta,RACE_White_non_Hispanic,   -0.7117,0.022,    0.312,   -2.284,   -1.322,   -0.101,True
432,Q2I,LLM Delta,AGEBRACKET_45_59,    0.4951,0.0,    0.140,    3.544,    0.221,    0.769,True
433,Q2I,LLM Delta,AGEBRACKET_60plus,    0.5116,0.0,    0.138,    3.708,    0.241,    0.782,True
436,Q2I,LLM Delta,EDUCATION_Some_college,    0.1669,0.028,    0.076,    2.193,    0.018,    0.316,True
437,Q2I,LLM Delta,PARTYBEFORE_Independent,    0.3726,0.0,    0.081,    4.627,    0.215,    0.530,True
438,Q2I,LLM Delta,PARTYBEFORE_Republican,    0.9228,0.0,    0.147,    6.262,    0.634,    1.212,True
439,Q2I,LLM Delta,GENDER_Male,    0.1749,0.043,    0.086,    2.025,    0.006,    0.344,True
463,Q3A,Human Delta,PARTYBEFORE_Republican,    0.3117,0.022,    0.136,    2.290,    0.045,    0.579,True
470,Q3A,Human Delta,EDUCATION_majority,   -0.3285,0.016,    0.137,   -2.398,   -0.597,   -0.060,True
486,Q3A,LLM Delta,EDUCATION_Some_college,    0.3383,0.0,    0.092,    3.683,    0.158,    0.518,True
487,Q3A,LLM Delta,PARTYBEFORE_Independent,    0.2561,0.012,    0.102,    2.504,    0.056,    0.456,True
488,Q3A,LLM Delta,PARTYBEFORE_Republican,    0.5291,0.0,    0.140,    3.775,    0.254,    0.804,True
489,Q3A,LLM Delta,GENDER_Male,   -0.1760,0.049,    0.089,   -1.970,   -0.351,   -0.001,True
491,Q3A,LLM Delta,RACE_majority,   -0.6873,0.0,    0.182,   -3.784,   -1.043,   -0.331,True
496,Q3A,LLM Delta,PARTYBEFORE_diversity,   -1.5045,0.037,    0.722,   -2.083,   -2.920,   -0.089,True
505,Q3B,Human Delta,RACE_White_non_Hispanic,   -0.9018,0.004,    0.317,   -2.843,   -1.523,   -0.280,True
513,Q3B,Human Delta,PARTYBEFORE_Republican,    0.2839,0.024,    0.126,    2.251,    0.037,    0.531,True
516,Q3B,Human Delta,RACE_majority,    1.0202,0.0,    0.219,    4.665,    0.592,    1.449,True
517,Q3B,Human Delta,AGEBRACKET_diversity,    1.9032,0.012,    0.760,    2.503,    0.413,    3.393,True
519,Q3B,Human Delta,EDUCATION_diversity,    0.7515,0.032,    0.350,    2.148,    0.066,    1.437,True
526,Q3B,LLM Delta,RACE_Asian_non_Hispanic,    0.5117,0.019,    0.219,    2.339,    0.083,    0.940,True
